"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13962","handleAllData_Pagination","Default suite","Mon Jul 14 16:02:16 IST 2025","passed","Mon Jul 14 16:02:30 IST 2025","com.report.test.bankTransactionTime","Default test","com.report.test.bankTransactionTime","handleAllData_Pagination"
"","4059","selectDate","Default suite","Thu Jul 10 12:08:23 IST 2025","passed","Thu Jul 10 12:08:27 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","selectDate"
"","19389","testClickFirstEmailOccurrenceOf_Card","Default suite","Tue Jul 15 10:55:32 IST 2025","passed","Tue Jul 15 10:55:51 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testClickFirstEmailOccurrenceOf_Card"
"","47834","downloadTransaction","Default suite","Tue Jul 15 14:03:03 IST 2025","passed","Tue Jul 15 14:03:51 IST 2025","com.report.test.download","Default test","com.report.test.download","downloadTransaction"
"","25023","allActionOnTransactionPage","Default suite","Thu Jul 10 12:10:27 IST 2025","passed","Thu Jul 10 12:10:52 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","allActionOnTransactionPage"
"","2079","validateEmailFieldErrors","Default suite","Wed Jul 16 15:00:48 IST 2025","passed","Wed Jul 16 15:00:50 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateEmailFieldErrors"
"","1856","validateEmailFieldErrors","Default suite","Wed Jul 16 15:00:32 IST 2025","passed","Wed Jul 16 15:00:34 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateEmailFieldErrors"
"","6724","validateEmailFieldErrors","Default suite","Wed Jul 16 14:58:32 IST 2025","broken","Wed Jul 16 14:58:39 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateEmailFieldErrors"
"","50619","testClickFirstEmailOccurrenceOf_Card","Default suite","Tue Jul 15 10:56:46 IST 2025","passed","Tue Jul 15 10:57:37 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testClickFirstEmailOccurrenceOf_Card"
"","47380","testTIDInHistoryCardSummarypage","Default suite","Mon Jul 14 14:03:51 IST 2025","passed","Mon Jul 14 14:04:38 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInHistoryCardSummarypage"
"","2","setup","Default suite","Sat Jul 12 09:00:35 IST 2025","broken","Sat Jul 12 09:00:35 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","setup"
"","8271","testClickFirstEmailOccurrence","Default suite","Mon Jul 14 11:51:30 IST 2025","passed","Mon Jul 14 11:51:39 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testClickFirstEmailOccurrence"
"","3","setupPages","Default suite","Wed Jul 16 12:50:43 IST 2025","failed","Wed Jul 16 12:50:43 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","setupPages"
"","8432","testTIDInActionCardSummarypage","Default suite","Mon Jul 14 13:55:57 IST 2025","passed","Mon Jul 14 13:56:05 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInActionCardSummarypage"
"","5891","verifyValidLoginTest","Default suite","Sun Jul 06 13:55:16 IST 2025","passed","Sun Jul 06 13:55:22 IST 2025","com.paysecure.test.Login","Default test","com.paysecure.test.Login","verifyValidLoginTest"
"","0","validatetransactiondataWithCSV","Default suite","Mon Jul 07 09:33:01 IST 2025","unknown","Mon Jul 07 09:33:01 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","validatetransactiondataWithCSV"
"","1724","validateEmailFieldErrors","Default suite","Wed Jul 16 15:03:45 IST 2025","passed","Wed Jul 16 15:03:47 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateEmailFieldErrors"
"","1930","validateEmailFieldErrors","Default suite","Wed Jul 16 15:00:01 IST 2025","passed","Wed Jul 16 15:00:03 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateEmailFieldErrors"
"","5276","verifyTransaCTIONidIn_ActionPage","Default suite","Thu Jul 10 15:07:33 IST 2025","passed","Thu Jul 10 15:07:38 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","verifyTransaCTIONidIn_ActionPage"
"","2000","validatePassswordErrorMessages","Default suite","Wed Jul 16 12:22:06 IST 2025","passed","Wed Jul 16 12:22:08 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validatePassswordErrorMessages"
